ACTION: Player1 | {FV | dRot: 0, dMovX: 6, dMovY: 6, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.5, HP: 20, TC: 1, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0734792, vX: 0, vY: 2.29623, DP: 0, dDP: 0, distObst: 21.4325, HP: 20, TC: 13, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.525149, HP: 20, TC: 14, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0763712, vX: 0, vY: 2.3866, DP: 0, dDP: 0, distObst: 21.3561, HP: 20, TC: 14, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.440361, HP: 20, TC: 15, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0789742, vX: 0, vY: 2.46794, DP: 0, dDP: 0, distObst: 21.2772, HP: 20, TC: 15, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.366024, HP: 20, TC: 16, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0813169, vX: 0, vY: 2.54115, DP: 0, dDP: 0, distObst: 21.1959, HP: 20, TC: 16, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.366743, HP: 20, TC: 17, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.083425, vX: 0, vY: 2.60703, DP: 0, dDP: 0, distObst: 21.1124, HP: 20, TC: 17, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.368963, HP: 20, TC: 18, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0853224, vX: 0, vY: 2.66633, DP: 0, dDP: 0, distObst: 21.0271, HP: 20, TC: 18, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.372796, HP: 20, TC: 19, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0870304, vX: 0, vY: 2.7197, DP: 0, dDP: 0, distObst: 20.9401, HP: 20, TC: 19, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.378374, HP: 20, TC: 20, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0885673, vX: 0, vY: 2.76773, DP: 0, dDP: 0, distObst: 20.8515, HP: 20, TC: 20, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.385857, HP: 20, TC: 21, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0899506, vX: 0, vY: 2.81095, DP: 0, dDP: 0, distObst: 20.7616, HP: 20, TC: 21, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.39543, HP: 20, TC: 22, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0911956, vX: 0, vY: 2.84986, DP: 0, dDP: 0, distObst: 20.6704, HP: 20, TC: 22, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.407318, HP: 20, TC: 23, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0923162, vX: 0, vY: 2.88487, DP: 0, dDP: 0, distObst: 20.578, HP: 20, TC: 23, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.42179, HP: 20, TC: 24, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0933242, vX: 0, vY: 2.91639, DP: 0, dDP: 0, distObst: 20.4847, HP: 20, TC: 24, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.439169, HP: 20, TC: 25, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0942321, vX: 0, vY: 2.94475, DP: 0, dDP: 0, distObst: 20.3905, HP: 20, TC: 25, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.459846, HP: 20, TC: 26, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0950489, vX: 0, vY: 2.97027, DP: 0, dDP: 0, distObst: 20.2954, HP: 20, TC: 26, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.484297, HP: 20, TC: 27, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0957837, vX: 0, vY: 2.99325, DP: 0, dDP: 0, distObst: 20.1997, HP: 20, TC: 27, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.51311, HP: 20, TC: 28, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0964456, vX: 0, vY: 3.01392, DP: 0, dDP: 0, distObst: 20.1032, HP: 20, TC: 28, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.54701, HP: 20, TC: 29, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0970411, vX: 0, vY: 3.03253, DP: 0, dDP: 0, distObst: 20.0062, HP: 20, TC: 29, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.586912, HP: 20, TC: 30, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0975766, vX: 0, vY: 3.04928, DP: 0, dDP: 0, distObst: 19.9086, HP: 20, TC: 30, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.633974, HP: 20, TC: 31, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0980592, vX: 0, vY: 3.06435, DP: 0, dDP: 0, distObst: 19.8105, HP: 20, TC: 31, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.689691, HP: 20, TC: 32, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0984931, vX: 0, vY: 3.07791, DP: 0, dDP: 0, distObst: 19.712, HP: 20, TC: 32, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.75602, HP: 20, TC: 33, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0988841, vX: 0, vY: 3.09012, DP: 0, dDP: 0, distObst: 19.6132, HP: 20, TC: 33, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.835575, HP: 20, TC: 34, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0992355, vX: 0, vY: 3.10111, DP: 0, dDP: 0, distObst: 19.5139, HP: 20, TC: 34, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 0.931925, HP: 20, TC: 35, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0995522, vX: 0, vY: 3.111, DP: 0, dDP: 0, distObst: 19.4144, HP: 20, TC: 35, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 1.05007, HP: 20, TC: 36, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.0998368, vX: 0, vY: 3.1199, DP: 0, dDP: 0, distObst: 19.3145, HP: 20, TC: 36, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 1.19723, HP: 20, TC: 37, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.100093, vX: 0, vY: 3.12791, DP: 0, dDP: 0, distObst: 19.2144, HP: 20, TC: 37, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 1.38425, HP: 20, TC: 38, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnLeft
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.100324, vX: 0, vY: 3.13512, DP: 0, dDP: 0, distObst: 19.1141, HP: 20, TC: 38, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: -0.0349066, dMovX: 0, dMovY: 0, vX: 0, vY: 0, DP: 0, dDP: 0, distObst: 1.62818, HP: 20, TC: 39, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.100532, vX: 0, vY: 3.14161, DP: 0, dDP: 0, distObst: 19.0136, HP: 20, TC: 39, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: -0.00993586, dMovY: 0.00247717, vX: -0.310495, vY: 0.0774147, DP: 0, dDP: 0, distObst: 1.61794, HP: 20, TC: 40, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.100718, vX: 0, vY: 3.14745, DP: 0, dDP: 0, distObst: 18.9129, HP: 20, TC: 40, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: -0.018878, dMovY: 0.00470686, vX: -0.58994, vY: 0.147088, DP: 0, dDP: 0, distObst: 1.59848, HP: 20, TC: 41, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.100886, vX: 0, vY: 3.1527, DP: 0, dDP: 0, distObst: 18.812, HP: 20, TC: 41, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: -0.026926, dMovY: 0.00671339, vX: -0.841441, vY: 0.209794, DP: 0, dDP: 0, distObst: 1.57073, HP: 20, TC: 42, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101038, vX: 0, vY: 3.15743, DP: 0, dDP: 0, distObst: 18.7109, HP: 20, TC: 42, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: -0.0341692, dMovY: 0.00851917, vX: -1.06779, vY: 0.266229, DP: 0, dDP: 0, distObst: 1.53552, HP: 20, TC: 43, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101174, vX: 0, vY: 3.16169, DP: 0, dDP: 0, distObst: 18.6098, HP: 20, TC: 43, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0, dMovX: -0.040688, dMovY: 0.0101447, vX: -1.27151, vY: 0.317021, DP: 0, dDP: 0, distObst: 1.49358, HP: 20, TC: 44, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101296, vX: 0, vY: 3.16552, DP: 0, dDP: 0, distObst: 18.5085, HP: 20, TC: 44, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0366192, dMovY: 0.00913, vX: -1.14436, vY: 0.285319, DP: 0, dDP: 0, distObst: 1.233, HP: 20, TC: 45, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101407, vX: 0, vY: 3.16897, DP: 0, dDP: 0, distObst: 18.4071, HP: 20, TC: 45, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0329576, dMovY: 0.00821733, vX: -1.02992, vY: 0.256787, DP: 0, dDP: 0, distObst: 1.03572, HP: 20, TC: 46, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101506, vX: 0, vY: 3.17207, DP: 0, dDP: 0, distObst: 18.3056, HP: 20, TC: 46, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0296617, dMovY: 0.00739527, vX: -0.926929, vY: 0.231108, DP: 0, dDP: 0, distObst: 0.882521, HP: 20, TC: 47, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101595, vX: 0, vY: 3.17486, DP: 0, dDP: 0, distObst: 18.204, HP: 20, TC: 47, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0266957, dMovY: 0.00665569, vX: -0.834236, vY: 0.207997, DP: 0, dDP: 0, distObst: 0.761186, HP: 20, TC: 48, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101676, vX: 0, vY: 3.17738, DP: 0, dDP: 0, distObst: 18.1023, HP: 20, TC: 48, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0240259, dMovY: 0.00599051, vX: -0.750812, vY: 0.187198, DP: 0, dDP: 0, distObst: 0.663596, HP: 20, TC: 49, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101748, vX: 0, vY: 3.17964, DP: 0, dDP: 0, distObst: 18.0005, HP: 20, TC: 49, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0216236, dMovY: 0.00539112, vX: -0.675731, vY: 0.168478, DP: 0, dDP: 0, distObst: 0.584154, HP: 20, TC: 50, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101814, vX: 0, vY: 3.18168, DP: 0, dDP: 0, distObst: 17.8987, HP: 20, TC: 50, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0194612, dMovY: 0.00485229, vX: -0.608158, vY: 0.15163, DP: 0, dDP: 0, distObst: 0.518875, HP: 20, TC: 51, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101872, vX: 0, vY: 3.18351, DP: 0, dDP: 0, distObst: 17.7968, HP: 20, TC: 51, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0175152, dMovY: 0.00436687, vX: -0.547342, vY: 0.136467, DP: 0, dDP: 0, distObst: 0.464852, HP: 20, TC: 52, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101925, vX: 0, vY: 3.18516, DP: 0, dDP: 0, distObst: 17.6949, HP: 20, TC: 52, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0157633, dMovY: 0.00393009, vX: -0.492608, vY: 0.12282, DP: 0, dDP: 0, distObst: 0.419923, HP: 20, TC: 53, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.101973, vX: 0, vY: 3.18664, DP: 0, dDP: 0, distObst: 17.593, HP: 20, TC: 53, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0141873, dMovY: 0.00353718, vX: -0.443347, vY: 0.110538, DP: 0, dDP: 0, distObst: 0.382438, HP: 20, TC: 54, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.102015, vX: 0, vY: 3.18798, DP: 0, dDP: 0, distObst: 17.4909, HP: 20, TC: 54, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0127683, dMovY: 0.00318336, vX: -0.399012, vY: 0.0994845, DP: 0, dDP: 0, distObst: 0.351127, HP: 20, TC: 55, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.102054, vX: 0, vY: 3.18918, DP: 0, dDP: 0, distObst: 17.3889, HP: 20, TC: 55, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
ACTION: Player1 | {FV | dRot: 0.0349066, dMovX: -0.0114918, dMovY: 0.00286531, vX: -0.359111, vY: 0.089536, DP: 0, dDP: 0, distObst: 0.324995, HP: 20, TC: 56, TE: 2147483647, TD: 2147483647, SD: 0} -> TurnRight
ACTION: player0 | {FV | dRot: 0, dMovX: 0, dMovY: 0.102088, vX: 0, vY: 3.19026, DP: 0, dDP: 0, distObst: 17.2868, HP: 20, TC: 56, TE: 2147483647, TD: 2147483647, SD: 0} -> MoveForward
